epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,1997.7,0.37898,0.49282,0.28765,0.96731,0.99428,0.98224,0.99299,0.95207,0.99428,0.98224,0.99299,0.97353,0.29804,0.52293,0.27333,0.96846,0.0014258,0.0014258,0.0014258
31,2068.81,0.36703,0.4778,0.28697,0.96497,0.9967,0.99718,0.9926,0.9601,0.9967,0.99718,0.9926,0.97043,0.29361,0.55894,0.23775,0.99145,0.001406,0.001406,0.001406
32,2137.98,0.37408,0.48372,0.28822,0.97061,0.99149,0.98715,0.9932,0.95679,0.99149,0.98715,0.9932,0.96742,0.30548,0.53604,0.2717,1.004,0.0013862,0.0013862,0.0013862
33,2201.42,0.35662,0.45295,0.26959,0.96509,0.99302,0.99153,0.99234,0.96198,0.99302,0.99153,0.99234,0.9722,0.27146,0.5008,0.24556,0.97495,0.0013664,0.0013664,0.0013664
34,2266.31,0.36361,0.45515,0.27092,0.96085,0.98857,0.97735,0.99177,0.9587,0.98857,0.97735,0.99197,0.96393,0.32268,0.53714,0.27793,1.01311,0.0013466,0.0013466,0.0013466
35,2330.47,0.35535,0.46181,0.27225,0.9642,0.98713,0.9887,0.99219,0.9492,0.98713,0.9887,0.99219,0.96301,0.27413,0.52848,0.26229,0.98097,0.0013268,0.0013268,0.0013268
36,2399.02,0.35247,0.4448,0.27307,0.96322,0.9943,0.98552,0.99253,0.95045,0.9943,0.98552,0.99253,0.96546,0.29539,0.47043,0.27667,0.98738,0.001307,0.001307,0.001307
37,2466.42,0.34815,0.44861,0.26232,0.96062,0.99332,0.9887,0.99279,0.95481,0.99332,0.9887,0.99279,0.97021,0.28971,0.41635,0.24033,0.99294,0.0012872,0.0012872,0.0012872
38,2536.95,0.35351,0.47909,0.26707,0.9644,0.99672,0.99153,0.99273,0.96023,0.99672,0.99153,0.99273,0.96883,0.31339,0.46793,0.28074,1.00214,0.0012674,0.0012674,0.0012674
39,2605.58,0.35696,0.44756,0.26777,0.96026,0.99152,0.99063,0.99368,0.96311,0.99152,0.99063,0.99368,0.97328,0.29745,0.52324,0.2513,0.99342,0.0012476,0.0012476,0.0012476
40,2674.39,0.34413,0.45007,0.26018,0.95389,0.99145,0.98241,0.99208,0.96049,0.99145,0.98241,0.99208,0.97127,0.28719,0.47999,0.24099,0.98601,0.0012278,0.0012278,0.0012278
41,2747.33,0.34825,0.45038,0.26726,0.95691,0.98027,0.9887,0.99362,0.95837,0.98027,0.9887,0.99362,0.96771,0.29642,0.47866,0.26033,0.9973,0.001208,0.001208,0.001208
42,2820.63,0.34557,0.44437,0.26564,0.95844,0.99405,0.99153,0.99386,0.95291,0.99405,0.99153,0.99386,0.9742,0.32203,0.47311,0.26061,1.00516,0.0011882,0.0011882,0.0011882
43,2884.68,0.34777,0.44806,0.26219,0.95579,0.9936,0.9887,0.99257,0.96735,0.99643,0.99153,0.99264,0.9737,0.27705,0.54538,0.22968,0.98224,0.0011684,0.0011684,0.0011684
44,2945.97,0.32848,0.43269,0.25055,0.95165,0.99716,0.99299,0.99438,0.97276,0.99716,0.99141,0.99438,0.97991,0.28911,0.51714,0.22087,0.99602,0.0011486,0.0011486,0.0011486
45,3006.77,0.33699,0.45583,0.25924,0.95741,0.99154,0.99358,0.99285,0.96462,0.99154,0.99358,0.99285,0.97386,0.28009,0.47759,0.25195,0.98338,0.0011288,0.0011288,0.0011288
46,3067.7,0.32935,0.42225,0.25358,0.95132,0.99631,0.99435,0.99245,0.96619,0.99631,0.99435,0.99245,0.97324,0.28109,0.43156,0.24653,0.98737,0.001109,0.001109,0.001109
47,3129.1,0.33235,0.44148,0.25056,0.95015,0.99111,0.99435,0.99253,0.96209,0.99111,0.99435,0.99253,0.97697,0.30018,0.45301,0.23052,1.01057,0.0010892,0.0010892,0.0010892
48,3198.4,0.34374,0.45797,0.25847,0.95608,0.98863,0.9887,0.99396,0.972,0.98863,0.9887,0.99396,0.97929,0.26544,0.45485,0.24153,0.96646,0.0010694,0.0010694,0.0010694
49,3265.99,0.32863,0.41494,0.24609,0.95127,0.9937,0.99718,0.99355,0.97086,0.9937,0.99718,0.99355,0.97607,0.26524,0.46172,0.24245,0.95594,0.0010496,0.0010496,0.0010496
